31.49	1.81
31.50	1.82
31.50	2.11
31.50	1.53
31.50	2.12
31.51	2.12
31.51	1.55
31.52	1.56
31.52	1.85
31.53	2.16
31.53	1.87
31.53	1.28
31.54	1.87
31.54	1.87
31.55	1.89
31.55	0.73
31.55	1.32
31.56	1.32
31.56	1.32
31.56	1.62
31.57	1.04
31.57	1.92
31.58	1.93
31.58	1.94
31.58	1.35
31.59	2.24
31.59	1.95
31.60	1.09
31.59	1.67
31.61	1.39
31.61	1.68
31.61	1.11
31.61	1.11
31.62	0.83
31.62	0.83
31.63	1.13
31.63	0.84
31.63	1.14
31.64	1.15
31.64	1.15
31.64	1.15
31.65	0.58
31.66	0.88
31.66	0.88
31.66	1.18
31.67	2.06
31.67	1.77
31.67	1.19
31.67	1.78
31.68	1.78
31.68	1.21
31.69	0.92
31.69	2.38
31.69	1.51
31.69	1.52
31.69	1.81
31.71	1.83
31.71	2.12
31.71	2.12
31.71	1.53
31.72	1.26
31.72	2.13
31.72	1.55
31.73	1.85
31.73	1.57
31.73	2.14
31.74	1.86
31.74	2.15
31.74	2.46
31.75	1.59
31.75	1.89
31.75	1.89
31.75	1.89
31.76	1.89
31.76	1.89
31.77	2.19
31.78	1.92
31.78	1.05
31.78	1.64
31.79	2.53
31.79	1.94
31.79	1.66
31.79	1.64
31.80	1.38
31.81	1.96
31.81	1.96
31.81	1.97
31.82	1.11
31.82	1.69
31.82	1.39
31.83	0.83
31.82	1.41
31.83	1.13
31.83	1.42
31.84	1.14
31.84	1.14
31.85	0.86
31.85	1.44
31.86	1.16
31.86	1.46
31.86	1.46
31.87	1.76
31.87	1.18
31.87	2.06
31.87	1.77
31.88	1.49
31.88	1.48
31.89	0.92
31.89	1.49
31.89	1.79
31.89	2.38
31.90	1.51
31.90	0.94
31.91	1.82
31.90	2.39
31.91	2.11
31.91	1.53
31.92	1.83
31.92	1.83
31.92	2.71
31.93	2.42
31.93	2.13
31.93	2.43
31.94	2.14
31.94	1.57
31.94	1.87
31.94	1.87
31.95	1.87
31.95	1.88
